Title,KAZ index,Sanskrit,Devanagari/Hindi,Bengali,Gujarati,Kannada,Malayalam,Telugu
Chapter 1.13,[English text for this chapter is available],[एन्ग्लिस्ह् तेxत् fओर् थिस् छप्तेर् इस् अवैलब्ले],[এন্গ্লিস্হ্ তেxত্ fওর্ থিস্ ছপ্তের্ ইস্ অবৈলব্লে],[એન્ગ્લિસ્હ્ તેxત્ fઓર્ થિસ્ છપ્તેર્ ઇસ્ અવૈલબ્લે],[ಏನ್ಗ್ಲಿಸ್ಹ್ ತೇxತ್ fಓರ್ ಥಿಸ್ ಛಪ್ತೇರ್ ಇಸ್ ಅವೈಲಬ್ಲೇ],[ഏന്ഗ്ലിസ്ഹ് തേxത് fഓര് ഥിസ് ഛപ്തേര് ഇസ് അവൈലബ്ലേ],[ఏన్గ్లిస్హ్ తేxత్ fఓర్ థిస్ ఛప్తేర్ ఇస్ అవైలబ్లే]
Chapter 1.13,kṛtamahāmātrāpasarpaḥ paurajānapadānapasarpayet || KAZ_01.13.01 ||,कृतमहामात्रापसर्पः पौरजानपदानपसर्पयेत् ॥ कZ_०१.१३.०१ ॥,কৃতমহামাত্রাপসর্পঃ পৌরজানপদানপসর্পযেত্ ॥ কZ_০১.১৩.০১ ॥,કૃતમહામાત્રાપસર્પઃ પૌરજાનપદાનપસર્પયેત્ ॥ કZ_૦૧.૧૩.૦૧ ॥,ಕೃತಮಹಾಮಾತ್ರಾಪಸರ್ಪಃ ಪೌರಜಾನಪದಾನಪಸರ್ಪಯೇತ್ ॥ ಕZ_೦೧.೧೩.೦೧ ॥,കൃതമഹാമാത്രാപസര്പഃ പൌരജാനപദാനപസര്പയേത് ॥ കZ_൦൧.൧൩.൦൧ ॥,కృతమహామాత్రాపసర్పః పౌరజానపదానపసర్పయేత్ ॥ కZ_౦౧.౧౩.౦౧ ॥
Chapter 1.13,sattriṇo dvandvinastīrthasabhāpūgajanasamavāyeṣu vivādaṃ kuryuḥ || KAZ_01.13.02 ||,सत्त्रिणो द्वन्द्विनस्तीर्थसभापूगजनसमवायेषु विवादं कुर्युः ॥ कZ_०१.१३.०२ ॥,সত্ত্রিণো দ্বন্দ্বিনস্তীর্থসভাপূগজনসমবাযেষু বিবাদং কুর্যুঃ ॥ কZ_০১.১৩.০২ ॥,સત્ત્રિણો દ્વન્દ્વિનસ્તીર્થસભાપૂગજનસમવાયેષુ વિવાદં કુર્યુઃ ॥ કZ_૦૧.૧૩.૦૨ ॥,ಸತ್ತ್ರಿಣೋ ದ್ವನ್ದ್ವಿನಸ್ತೀರ್ಥಸಭಾಪೂಗಜನಸಮವಾಯೇಷು ವಿವಾದಂ ಕುರ್ಯುಃ ॥ ಕZ_೦೧.೧೩.೦೨ ॥,സത്ത്രിണോ ദ്വന്ദ്വിനസ്തീര്ഥസഭാപൂഗജനസമവായേഷു വിവാദം കുര്യുഃ ॥ കZ_൦൧.൧൩.൦൨ ॥,సత్త్రిణో ద్వన్ద్వినస్తీర్థసభాపూగజనసమవాయేషు వివాదం కుర్యుః ॥ కZ_౦౧.౧౩.౦౨ ॥
Chapter 1.13,sarvaguṇasampannaścāyaṃ rājā śrūyate na cāsya kaścidguṇo dṛśyate yaḥ paurajānapadāndaṇḍakarābhyāṃ pīḍayati iti || KAZ_01.13.03 ||,सर्वगुणसम्पन्नश्चायं राजा श्रूयते न चास्य कश्चिद्गुणो दृश्यते यः पौरजानपदान्दण्डकराभ्यां पीडयति इति ॥ कZ_०१.१३.०३ ॥,সর্বগুণসম্পন্নশ্চাযং রাজা শ্রূযতে ন চাস্য কশ্চিদ্গুণো দৃশ্যতে যঃ পৌরজানপদান্দণ্ডকরাভ্যাং পীডযতি ইতি ॥ কZ_০১.১৩.০৩ ॥,સર્વગુણસમ્પન્નશ્ચાયં રાજા શ્રૂયતે ન ચાસ્ય કશ્ચિદ્ગુણો દૃશ્યતે યઃ પૌરજાનપદાન્દણ્ડકરાભ્યાં પીડયતિ ઇતિ ॥ કZ_૦૧.૧૩.૦૩ ॥,ಸರ್ವಗುಣಸಮ್ಪನ್ನಶ್ಚಾಯಂ ರಾಜಾ ಶ್ರೂಯತೇ ನ ಚಾಸ್ಯ ಕಶ್ಚಿದ್ಗುಣೋ ದೃಶ್ಯತೇ ಯಃ ಪೌರಜಾನಪದಾನ್ದಣ್ಡಕರಾಭ್ಯಾಂ ಪೀಡಯತಿ ಇತಿ ॥ ಕZ_೦೧.೧೩.೦೩ ॥,സര്വഗുണസമ്പന്നശ്ചായം രാജാ ശ്രൂയതേ ന ചാസ്യ കശ്ചിദ്ഗുണോ ദൃശ്യതേ യഃ പൌരജാനപദാന്ദണ്ഡകരാഭ്യാം പീഡയതി ഇതി ॥ കZ_൦൧.൧൩.൦൩ ॥,సర్వగుణసమ్పన్నశ్చాయం రాజా శ్రూయతే న చాస్య కశ్చిద్గుణో దృశ్యతే యః పౌరజానపదాన్దణ్డకరాభ్యాం పీడయతి ఇతి ॥ కZ_౦౧.౧౩.౦౩ ॥
Chapter 1.13,tatra ye'nupraśaṃseyustānitarastaṃ ca pratiṣedhayet || KAZ_01.13.04 ||,तत्र येऽनुप्रशंसेयुस्तानितरस्तं च प्रतिषेधयेत् ॥ कZ_०१.१३.०४ ॥,তত্র যেঽনুপ্রশংসেযুস্তানিতরস্তং চ প্রতিষেধযেত্ ॥ কZ_০১.১৩.০৪ ॥,તત્ર યેઽનુપ્રશંસેયુસ્તાનિતરસ્તં ચ પ્રતિષેધયેત્ ॥ કZ_૦૧.૧૩.૦૪ ॥,ತತ್ರ ಯೇಽನುಪ್ರಶಂಸೇಯುಸ್ತಾನಿತರಸ್ತಂ ಚ ಪ್ರತಿಷೇಧಯೇತ್ ॥ ಕZ_೦೧.೧೩.೦೪ ॥,തത്ര യേഽനുപ്രശംസേയുസ്താനിതരസ്തം ച പ്രതിഷേധയേത് ॥ കZ_൦൧.൧൩.൦൪ ॥,తత్ర యేఽనుప్రశంసేయుస్తానితరస్తం చ ప్రతిషేధయేత్ ॥ కZ_౦౧.౧౩.౦౪ ॥
Chapter 1.13,mātsyanyāyābhibhūtāḥ prajā manuṃ vaivasvataṃ rājānaṃ cakrire || KAZ_01.13.05 ||,मात्स्यन्यायाभिभूताः प्रजा मनुं वैवस्वतं राजानं चक्रिरे ॥ कZ_०१.१३.०५ ॥,মাত্স্যন্যাযাভিভূতাঃ প্রজা মনুং বৈবস্বতং রাজানং চক্রিরে ॥ কZ_০১.১৩.০৫ ॥,માત્સ્યન્યાયાભિભૂતાઃ પ્રજા મનું વૈવસ્વતં રાજાનં ચક્રિરે ॥ કZ_૦૧.૧૩.૦૫ ॥,ಮಾತ್ಸ್ಯನ್ಯಾಯಾಭಿಭೂತಾಃ ಪ್ರಜಾ ಮನುಂ ವೈವಸ್ವತಂ ರಾಜಾನಂ ಚಕ್ರಿರೇ ॥ ಕZ_೦೧.೧೩.೦೫ ॥,മാത്സ്യന്യായാഭിഭൂതാഃ പ്രജാ മനും വൈവസ്വതം രാജാനം ചക്രിരേ ॥ കZ_൦൧.൧൩.൦൫ ॥,మాత్స్యన్యాయాభిభూతాః ప్రజా మనుం వైవస్వతం రాజానం చక్రిరే ॥ కZ_౦౧.౧౩.౦౫ ॥
Chapter 1.13,dhānyaṣaḍbhāgaṃ paṇyadaśabhāgaṃ hiraṇyaṃ cāsya bhāgadheyaṃ prakalpayāmāsuḥ || KAZ_01.13.06 ||,धान्यषड्भागं पण्यदशभागं हिरण्यं चास्य भागधेयं प्रकल्पयामासुः ॥ कZ_०१.१३.०६ ॥,ধান্যষড্ভাগং পণ্যদশভাগং হিরণ্যং চাস্য ভাগধেযং প্রকল্পযামাসুঃ ॥ কZ_০১.১৩.০৬ ॥,ધાન્યષડ્ભાગં પણ્યદશભાગં હિરણ્યં ચાસ્ય ભાગધેયં પ્રકલ્પયામાસુઃ ॥ કZ_૦૧.૧૩.૦૬ ॥,ಧಾನ್ಯಷಡ್ಭಾಗಂ ಪಣ್ಯದಶಭಾಗಂ ಹಿರಣ್ಯಂ ಚಾಸ್ಯ ಭಾಗಧೇಯಂ ಪ್ರಕಲ್ಪಯಾಮಾಸುಃ ॥ ಕZ_೦೧.೧೩.೦೬ ॥,ധാന്യഷഡ്ഭാഗം പണ്യദശഭാഗം ഹിരണ്യം ചാസ്യ ഭാഗധേയം പ്രകല്പയാമാസുഃ ॥ കZ_൦൧.൧൩.൦൬ ॥,ధాన్యషడ్భాగం పణ్యదశభాగం హిరణ్యం చాస్య భాగధేయం ప్రకల్పయామాసుః ॥ కZ_౦౧.౧౩.౦౬ ॥
Chapter 1.13,tena bhṛtā rājānaḥ prajānāṃ yogakṣemāvahāḥ || KAZ_01.13.07 ||,तेन भृता राजानः प्रजानां योगक्षेमावहाः ॥ कZ_०१.१३.०७ ॥,তেন ভৃতা রাজানঃ প্রজানাং যোগক্ষেমাবহাঃ ॥ কZ_০১.১৩.০৭ ॥,તેન ભૃતા રાજાનઃ પ્રજાનાં યોગક્ષેમાવહાઃ ॥ કZ_૦૧.૧૩.૦૭ ॥,ತೇನ ಭೃತಾ ರಾಜಾನಃ ಪ್ರಜಾನಾಂ ಯೋಗಕ್ಷೇಮಾವಹಾಃ ॥ ಕZ_೦೧.೧೩.೦೭ ॥,തേന ഭൃതാ രാജാനഃ പ്രജാനാം യോഗക്ഷേമാവഹാഃ ॥ കZ_൦൧.൧൩.൦൭ ॥,తేన భృతా రాజానః ప్రజానాం యోగక్షేమావహాః ॥ కZ_౦౧.౧౩.౦౭ ॥
Chapter 1.13,teṣāṃ kilbiṣamadaṇḍakarā harantyayogakṣemāvahāśca prajānām || KAZ_01.13.08 ||,तेषां किल्बिषमदण्डकरा हरन्त्ययोगक्षेमावहाश्च प्रजानाम् ॥ कZ_०१.१३.०८ ॥,তেষাং কিল্বিষমদণ্ডকরা হরন্ত্যযোগক্ষেমাবহাশ্চ প্রজানাম্ ॥ কZ_০১.১৩.০৮ ॥,તેષાં કિલ્બિષમદણ્ડકરા હરન્ત્યયોગક્ષેમાવહાશ્ચ પ્રજાનામ્ ॥ કZ_૦૧.૧૩.૦૮ ॥,ತೇಷಾಂ ಕಿಲ್ಬಿಷಮದಣ್ಡಕರಾ ಹರನ್ತ್ಯಯೋಗಕ್ಷೇಮಾವಹಾಶ್ಚ ಪ್ರಜಾನಾಮ್ ॥ ಕZ_೦೧.೧೩.೦೮ ॥,തേഷാം കില്ബിഷമദണ്ഡകരാ ഹരന്ത്യയോഗക്ഷേമാവഹാശ്ച പ്രജാനാമ് ॥ കZ_൦൧.൧൩.൦൮ ॥,తేషాం కిల్బిషమదణ్డకరా హరన్త్యయోగక్షేమావహాశ్చ ప్రజానామ్ ॥ కZ_౦౧.౧౩.౦౮ ॥
Chapter 1.13,tasmāduñchaṣaḍbhāgamāraṇyakāpi nirvapanti tasyaitadbhāgadheyaṃ yo'smān gopāyati iti || KAZ_01.13.09 ||,तस्मादुञ्छषड्भागमारण्यकापि निर्वपन्ति तस्यैतद्भागधेयं योऽस्मान् गोपायति इति ॥ कZ_०१.१३.०९ ॥,তস্মাদুঞ্ছষড্ভাগমারণ্যকাপি নির্বপন্তি তস্যৈতদ্ভাগধেযং যোঽস্মান্ গোপাযতি ইতি ॥ কZ_০১.১৩.০৯ ॥,તસ્માદુઞ્છષડ્ભાગમારણ્યકાપિ નિર્વપન્તિ તસ્યૈતદ્ભાગધેયં યોઽસ્માન્ ગોપાયતિ ઇતિ ॥ કZ_૦૧.૧૩.૦૯ ॥,ತಸ್ಮಾದುಞ್ಛಷಡ್ಭಾಗಮಾರಣ್ಯಕಾಪಿ ನಿರ್ವಪನ್ತಿ ತಸ್ಯೈತದ್ಭಾಗಧೇಯಂ ಯೋಽಸ್ಮಾನ್ ಗೋಪಾಯತಿ ಇತಿ ॥ ಕZ_೦೧.೧೩.೦೯ ॥,തസ്മാദുഞ്ഛഷഡ്ഭാഗമാരണ്യകാപി നിര്വപന്തി തസ്യൈതദ്ഭാഗധേയം യോഽസ്മാന് ഗോപായതി ഇതി ॥ കZ_൦൧.൧൩.൦൯ ॥,తస్మాదుఞ్ఛషడ్భాగమారణ్యకాపి నిర్వపన్తి తస్యైతద్భాగధేయం యోఽస్మాన్ గోపాయతి ఇతి ॥ కZ_౦౧.౧౩.౦౯ ॥
